Name,Url,Authority,Start Date,End Date,License Number
"Adobe Certified Instructor, InDesign",,Adobe Systems Inc,9/2006,,
"Adobe Certified Instructor, Photoshop",,Adobe Systems Inc,9/2006,,
"Adobe Certified Instructor, Illustrator",,Adobe Systems Inc,9/2006,,
real-time-web-with-node-js,https://www.codeschool.com/courses/real-time-web-with-node-js,Code School,8/2015,,
"Adobe Certified Instructor, Adobe Acrobat",,Adobe Systems Inc,9/2006,,
"Adobe Certified Instructor, Print Specialist",,Adobe Systems Inc,9/2006,,
